Organisation,Date,Meeting,RawName,CleanName,VideoLink,CouncillorOrg
Hastings District Council,30/05/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,27/05/2019,Hastings District Rural Community Board,Mrs S Maxwell (Chair),,,
Hastings District Council,27/05/2019,Hastings District Rural Community Board,Mr N Dawson,,,
Hastings District Council,27/05/2019,Hastings District Rural Community Board,Councillors Kerr and Lyons,Kerr,,HDC
Hastings District Council,27/05/2019,Hastings District Rural Community Board,Councillors Kerr and Lyons,Lyons,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",Travers,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",Barber,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",Lawson,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",Poulain,,HDC
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",,,
Hastings District Council,22/05/2019,HDC - Māori Joint Committee,"Chair: Mr Robin HapeCouncillors Travers, Barber, (Deputy Chair) Lawson and PoulainMessrs Te Rangihau Gilbert, Ms Tracee Te Huiaand Mr Ngaio Tiuka Kaumātua: Jerry Hapuku",,,
Hastings District Council,20/05/2019,Community Grants Subcommittee,Councillor Dixon (Chair),Dixon,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,"                                          Councillors Barber, Harvey, Lawson, Schollum and Watkins.",Barber,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,"                                          Councillors Barber, Harvey, Lawson, Schollum and Watkins.",Harvey,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,"                                          Councillors Barber, Harvey, Lawson, Schollum and Watkins.",Lawson,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,"                                          Councillors Barber, Harvey, Lawson, Schollum and Watkins.",Schollum,,HDC
Hastings District Council,20/05/2019,Community Grants Subcommittee,"                                          Councillors Barber, Harvey, Lawson, Schollum and Watkins.",Watkins,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,Councillor Lyons (Chair),Lyons,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Barber,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Dixon,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Harvey,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Heaps,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Nixon,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",O’Keefe,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Poulain,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Redstone,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Schollum,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Travers,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",Watkins,,HDC
Hastings District Council,16/05/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins and Tracee Te Huia ",,,
Hastings District Council,14/05/2019,International Advisory Group,Chair: Councillor Travers,Travers,,HDC
Hastings District Council,14/05/2019,International Advisory Group,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,14/05/2019,International Advisory Group,Councillors Dixon and Watkins,Dixon,,HDC
Hastings District Council,14/05/2019,International Advisory Group,Councillors Dixon and Watkins,Watkins,,HDC
Hastings District Council,09/05/2019,Hearings Committee,,,,
Hastings District Council,09/05/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair),Nixon,,HDC
Hastings District Council,09/05/2019,Temporary Road Closures Subcommittee,Councillor Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,08/05/2019,Hastings District Youth Council,Councillor Dixon – Council Liaison,Dixon,,HDC
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,Mr J Nichols (Chair) ,,,
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,Deputy Mayor Kerr (Deputy Chair),Kerr,,HDC
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,Councillors Nixon and Travers ,Nixon,,HDC
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,Councillors Nixon and Travers ,Travers,,HDC
Hastings District Council,06/05/2019,Risk and Audit Subcommittee,,,,
Hastings District Council,02/05/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Barber,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Dixon,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Harvey,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Heaps,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Kerr,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Lawson,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Lyons,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Nixon,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",O’Keefe,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Redstone,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Schollum,,HDC
Hastings District Council,02/05/2019,Council,"Councillors Barber, Dixon, Harvey (left 4.00pm), Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Redstone, Schollum and Watkins.",Watkins,,HDC
Hastings District Council,24/04/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair),Nixon,,HDC
Hastings District Council,24/04/2019,Temporary Road Closures Subcommittee,Councillor Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,Councillor Watkins(Chair)Councillors NixonandRedstone ,Watkins,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,Councillor Watkins(Chair)Councillors NixonandRedstone ,Nixon,,HDC
Hastings District Council,24/04/2019,Tenders Subcommittee,Councillor Watkins(Chair)Councillors NixonandRedstone ,Redstone,,HDC
Hastings District Council,11/04/2019,Temporary Road Closures Subcommittee,Councillor Nixon (Chair),Nixon,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,Councillor Travers (Chair),Travers,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Lawson,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Nixon,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Redstone,,HDC
Hastings District Council,11/04/2019,Tenders Subcommittee,"Councillors Lawson, Nixon, Redstone and Watkins (Deputy Chair)",Watkins,,HDC
Hastings District Council,09/04/2019,Community Development Committee,Chair: Councillor Dixon ,Dixon,,HDC
Hastings District Council,09/04/2019,Community Development Committee,Mayor Hazlehurst ,Hazlehurst,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Barber,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Harvey,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Heaps,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Lawson,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Lyons,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Kerr,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Nixon,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Redstone,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Schollum,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Travers,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",Watkins,,HDC
Hastings District Council,09/04/2019,Community Development Committee,"Councillors Barber, Harvey (Deputy Chair), Heaps, Lawson, Lyons, Kerr, Nixon, Redstone, Schollum, Travers and Watkins and Evelyn Ratima (Appointed)",,,
Hastings District Council,08/04/2019,HB Crematorium Committee,Chair: Councillor Dixon (HDC),Dixon,,HDC
Hastings District Council,08/04/2019,HB Crematorium Committee,                                               Councillor Watkins (HDC),Watkins,,HDC
Hastings District Council,08/04/2019,HB Crematorium Committee,Councillors McGrath and Taylor (NCC),McGrath,,NCC
Hastings District Council,08/04/2019,HB Crematorium Committee,Councillors McGrath and Taylor (NCC),Taylor,,NCC
Hastings District Council,03/04/2019,Hastings District Youth Council,,,,
Hastings District Council,28/03/2019,Council,Mayor Hazlehurst (Chair),Hazlehurst,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Barber,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Dixon,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Harvey,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Heaps,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Kerr,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lawson,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Lyons,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Nixon,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",O’Keefe,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Poulain,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Redstone,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Schollum,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Travers,,HDC
Hastings District Council,28/03/2019,Council,"Councillors Barber, Dixon, Harvey, Heaps, Kerr, Lawson, Lyons, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins.",Watkins,,HDC
Hastings District Council,28/03/2019,Council Supplementary,,,,
Hastings District Council,28/03/2019,Tenders Subcommittee,Councillor Travers (Chair),Travers,,HDC
Hastings District Council,28/03/2019,Tenders Subcommittee,Nixon and Watkins (Deputy Chair),Nixon,,HDC
Hastings District Council,28/03/2019,Tenders Subcommittee,Nixon and Watkins (Deputy Chair),Watkins,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,Chair: Councillor Travers ,Travers,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Dixon,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Harvey,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Heaps,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Kerr,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Lyons,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Nixon,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",O’Keefe,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Poulain,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Redstone,,HDC
Hastings District Council,26/03/2019,Finance and Risk Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Watkins,,HDC
Hastings District Council,25/03/2019,Hearings Committee,Chair: Councillor Lyons,Lyons,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Barber,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Heaps,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Kerr,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Redstone,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Schollum,,HDC
Hastings District Council,25/03/2019,Hearings Committee,"Councillors Barber, Heaps, Kerr (Deputy Chair), Redstone and Schollum and Mr P Kay ",Mr P Kay,,
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,Chair: Councillor Travers ,Travers,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Dixon,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Harvey,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Heaps,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Kerr,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Lyons,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Nixon,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",O’Keefe,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Poulain,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Redstone,,HDC
Hastings District Council,22/03/2019,Joint Council Waste Futures Project Steering Committee,"Councillors Dixon, Harvey, Heaps, Kerr (Deputy Chair), Lyons, Nixon, O’Keefe, Poulain, Redstone and Watkins",Watkins,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,Chair: Councillor SchollumCouncillors Dixon and Travers,Schollum,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,Chair: Councillor SchollumCouncillors Dixon and Travers,Dixon,,HDC
Hastings District Council,18/03/2019,Landmarks Advisory Group,Chair: Councillor SchollumCouncillors Dixon and Travers,Travers,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,Councillor Lyons (Chair),Lyons,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,Mayor Hazlehurst,Hazlehurst,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Barber,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Dixon,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Harvey,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Heaps,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Kerr,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Lawson,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Nixon,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",O’Keefe,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Poulain,,HDC
Hastings District Council,14/03/2019,Strategy Planning and Partnerships Committee,"Councillors Barber (Deputy Chair), Dixon, Harvey, Heaps, Kerr, Lawson, Nixon, O’Keefe, Poulain, Redstone, Schollum, Travers and Watkins ",Redstone,,HDC
